.	34	7776639	7786824	7826137	7901494	8156589	8453607	8489059	8495913	8525499	8557362	8589672	8842539	9121269	9168403	9312216	9436997	9490296	9620223	9760507	9980089	10390131	10955945	11253832	11678635	11925793	12248659	13994178	14879509	15633690	17286594	18860786	21605918	23797565	27203995	35590170	43325348	64251255	123067754	
.	35	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	35	7884747	7895485	7940042	8024120	8277849	8580212	8603218	8610944	8644694	8681048	8718128	8988038	9252312	9290052	9433155	9558368	9617475	9752269	9898909	10131146	10549189	11115096	11432057	11842667	12110271	12436095	14241602	15139491	15883116	17630421	19196530	22130785	24284849	27775587	36291214	43997153	64802371	123067754	
.	36	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	36	8008052	8019583	8069349	8159795	8416815	8725326	8740840	8749439	8786503	8826617	8869273	9158187	9401917	9435731	9585216	9714875	9779513	9923654	10076669	10328563	10770132	11319485	11662027	12078019	12370226	12716693	14535159	15462959	16224463	18096627	19657362	22771727	24934729	28531258	37257282	44970838	66038102	123067754	
.	37	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	37	8129799	8142186	8197310	8296385	8545494	8847217	8858384	8868327	8910036	8955824	9006635	9304274	9530088	9563899	9710706	9841153	9920354	10066218	10222612	10493268	10956669	11469695	11834150	12237673	12555774	12904826	14741796	15685704	16453488	18407765	19954543	23259269	25362478	29081386	37816167	45663687	66684321	123067754	
.	38	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	38	8243802	8257205	8320008	8433127	8702076	9036462	9046719	9058414	9105651	9158715	9217200	9548477	9762658	9802635	9955612	10096270	10183833	10328297	10492279	10798614	11313737	11790643	12183174	12605336	12952324	13322499	15180760	16158907	16956226	19031762	20581427	24049336	26141153	29920900	38381971	46549211	67488274	123067754	
.	39	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	39	8359903	8373870	8439293	8557145	8799871	9095594	9105413	9118182	9168440	9226536	9289019	9614094	9801511	9844104	9992453	10129416	10226544	10370567	10544526	10863351	11382316	11826921	12237851	12657711	13033952	13411435	15253744	16252614	17065672	19200248	20749817	24362697	26449919	30299288	38781825	47042048	68053551	123067754	
.	40	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	40	8499071	8513701	8584703	8717704	8960318	9252489	9262685	9277449	9331699	9397757	9467927	9791857	9954544	10001934	10153943	10293393	10398503	10549970	10731842	11067755	11607889	12011766	12451764	12871561	13286168	13679354	15505426	16540553	17388446	19641136	21207726	25000879	27144847	31091861	39708567	47958704	69064696	123067754	
.	41	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	41	8623145	8639123	8718175	8872460	9116188	9409191	9420013	9436369	9496643	9569945	9648613	9976711	10124363	10176242	10337539	10483353	10598286	10758482	10955288	11304907	11863628	12235911	12708585	13147573	13597340	14018233	15806759	16885593	17772661	20102859	21712135	25632337	27872302	31890840	40648621	48955573	70307022	123067754	
.	42	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	42	8760465	8778871	8867979	9051171	9283837	9573519	9585139	9603321	9673576	9754238	9848160	10159137	10287463	10343308	10512197	10664656	10788175	10964613	11190581	11567091	12138968	12485429	13016408	13484787	13978692	14431551	16204635	17350890	18291459	20803761	22550234	26634630	29057639	33349904	42656453	50988494	73695413	123067754	
.	43	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	43	8909023	8929079	9026684	9229328	9463259	9751209	9764200	9785602	9857041	9948934	10055003	10365963	10478436	10541201	10718873	10875481	11014830	11195323	11424875	11836377	12430970	12758318	13306416	13787395	14353292	14835427	16631394	17824606	18825111	21438013	23243235	27473688	30053516	34522496	44104095	52815594	75775328	123067754	
